Ticker,Return Rate of MA05,Return Rate of MA10,Return Rate of MA20,Return Rate of MonthlySIP,Return Rate of WeeklySIP,Distance of Close2BBLowerLim,Return Rate of MA5CrossMA10,Return Rate of MA05_WoSell,Return Rate of MA10_WoSell,Return Rate of MA20_WoSell,Return Rate of MA05CrossMA10_WoSell,Return Rate of MA10CrossMA20_WoSell,Return Rate of MACD,Return Rate of BB
ARE,-2.8424349471773502,-14.591642456182214,-18.917791036591844,-15.236762939429918,-16.01914287409916,0.03375749513951246,-20.523871999321592,-15.923797577522114,-17.703492583249652,-18.428756080007332,-17.61496077675723,-16.841273488875647,-15.114281439189034,-5.842754471429383
ASML,-51.09978036289493,-35.87544674220927,-30.974818642298317,-13.336296512046216,-13.356126122724016,0.05064602774668195,-29.12212951333198,-14.625012646255767,-14.001778495309361,-15.151331618711513,-11.251495583761386,-16.55686678587748,-11.263114800186894,-13.84830722857868
ATO,16.37758904052853,12.239742117433309,13.983771694723709,12.315820849923954,11.87851312571115,0.0369472743183698,6.66288188138778,11.943031232390107,10.935490329984706,14.650327973547355,11.126722588177303,11.492314946517029,5.780790376169188,11.54274730167812
AVB,11.637203978584191,5.084746872388311,-2.2207998153261466,8.253436598973488,6.617553983418753,0.040356925953375845,1.497121607251367,6.2973738516965705,6.685095781550703,7.240902716506782,4.858905010212652,4.500595234012335,1.9026266020013751,18.736559081466343
AVGO,46.85816995281301,26.693953987011515,18.519919343247455,45.83812455512125,41.10361428399356,0.11358404555929105,13.601363731665186,41.81754483936187,39.41422476325585,38.64774104646805,40.63258754494376,42.84849598788639,29.576154752165877,50.86085838425086
AVY,-5.167174578451444,-8.824770485494547,-18.806393772172243,-14.582332581699514,-14.857994720430687,0.0027652121545872687,-17.240344255494502,-15.36315498040531,-16.017770172929755,-17.434388663388372,-15.83718335683218,-16.100892301574294,-12.812714469207991,-8.510032104989252
AWK,1.3861566944084502,2.325825323579414,-3.3090505726681316,-6.03095236408447,-6.184112002418477,0.025324080330206666,4.891099096150019,-6.440751655930168,-4.572115418289044,-4.229674133099697,-5.997087967460808,-7.09594434248344,5.9234438652265,6.779215814369642
AXON,159.7927430765157,114.79565709803512,70.97233912191663,89.00800911024851,83.22341154263846,0.24141327922584221,57.525573454862744,83.80906326849826,100.73912363216301,86.48266674515294,96.42986475789147,88.53590565712449,87.17328880441741,15.166993393326656
AXP,14.241275361802336,6.0925804781293325,5.690392720155012,25.826528922613463,25.03097838109958,0.06413599160932024,-7.2603478146391645,24.104746522522248,18.178394063296036,23.522907052535516,18.398686053324802,18.425207956271343,0.7583008596574088,33.634662372878545
AZO,21.257837722498937,1.6131993975939805,-2.089088451937824,12.29109106751833,11.71274565316282,0.08429205296363286,-7.280538914313822,12.785105493159286,11.824027413393136,8.846286244572628,11.52215258046371,11.31961067688793,3.2857734632265907,9.88815014306577
BA,-30.112297305915714,-17.644525353612643,-23.081739470565026,3.763056230850839,5.383766170176056,0.0972917795339461,-6.489597264367632,6.6659345225307876,5.521522834275104,5.2852855336751565,3.8758773089670626,3.200552974404684,-32.453691795125685,14.153036048173304
